active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2788.23,2115.47,65,1.0,2026-02-01,7,1.025,True
2,Jeeda Sensei,2716.27,2031.8,70,1.0,2026-02-08,0,1.025,True
3,S31gn3ur Chr3t13n,2606.88,1936.13,56,1.0,2026-02-08,0,1.025,True
4,Quali,2586.98,1921.36,85,1.0,2026-02-08,0,1.025,True
5,luisarlen23,2550.66,1895.94,34,1.0,2026-02-07,1,1.025,True
6,Skoops!,2515.17,1872.76,48,1.0,2026-02-08,0,1.1,True
7,Siker_7,2367.25,1789.34,39,1.0,2026-02-08,0,1.025,True
8,Xrenoid,2341.0,1776.24,49,1.0,2026-02-05,3,1.025,True
9,Conroy Milk,2222.63,1721.84,28,0.93,2026-02-07,1,1.025,True
10,btroitsk,2205.77,1714.61,36,1.0,2026-02-02,6,1.025,True
11,Skit,2163.53,1697.01,25,0.83,2026-02-08,0,1.025,True
12,yaelsky96,2036.29,1647.66,10,0.33,2026-02-06,2,1.2,True
13,Dreamweaver,2021.79,1642.33,46,1.0,2026-02-08,0,1.075,True
14,Reynauld,1960.09,1620.3,16,0.53,2026-02-08,0,1.2,True
15,blankE,1867.09,1588.76,46,1.0,2026-02-08,0,1.05,True
16,fmc91,1859.95,1586.41,13,0.43,2026-02-08,0,1.025,True
17,tsromanow,1845.99,1581.86,25,0.83,2026-02-08,0,1.025,True
18,masterv5983,1832.16,1577.38,40,1.0,2026-02-08,0,1.025,True
19,TheHunter222,1809.59,1570.17,23,0.77,2026-02-01,7,1.025,True
20,genevrier_ou,1779.04,1560.56,32,1.0,2026-02-07,1,1.05,True
21,Laska,1747.27,1550.76,14,0.47,2026-02-07,1,1.25,True
22,Booorman,1736.01,1547.33,8,0.27,2026-02-02,6,1.1,True
23,JarJar,1660.13,1524.85,38,1.0,2026-02-08,0,1.025,True
24,flowerlady32,1645.29,1520.59,10,0.33,2026-02-07,1,1.025,True
25,Frango,1642.02,1519.65,24,0.8,2026-02-08,0,1.025,True
26,bullzebub,1601.74,1508.32,15,0.5,2026-02-06,2,1.25,True
27,Коmар,1543.69,1492.57,26,0.87,2026-02-08,0,1.025,True
28,Varravann,1538.76,1491.27,13,0.43,2026-02-06,2,1.025,True
29,Lovis,1423.26,1450.09,33,1.0,2026-02-04,4,1.025,True
30,Hirow,1413.18,1445.92,17,0.57,2026-02-03,5,1.05,True
31,valtry,1403.55,1441.91,16,0.53,2026-02-08,0,1.075,True
32,Dangil Sparda,1396.72,1439.05,7,0.23,2026-02-05,3,1.25,True
33,Grimning,1392.84,1437.41,35,1.0,2026-02-08,0,1.025,True
34,augustboyer198,1390.22,1436.3,7,0.23,2026-02-04,4,1.225,True
35,schmendrikson,1384.71,1433.97,23,0.77,2026-02-08,0,1.025,True
36,Pask74,1360.48,1423.54,11,0.37,2026-02-07,1,1.025,True
37,hrejarz2,1342.08,1415.41,26,0.87,2026-02-08,0,1.15,True
38,juicyteach,1321.99,1406.29,13,0.43,2026-02-03,5,1.25,True
39,Draghmar 🐲,1310.16,1400.78,8,0.27,2026-02-08,0,1.025,True
40,wally_punisher,1284.88,1388.6,7,0.23,2026-02-08,0,1.075,True
41,Mr_Aapies,1275.35,1383.85,22,0.73,2026-02-08,0,1.025,True
42,Bananahammockjoe,1264.37,1378.24,12,0.4,2026-02-08,0,1.025,True
43,slaaneshtgof,1258.92,1375.4,18,0.6,2026-02-06,2,1.25,True
44,Halswein,1257.58,1374.7,14,0.47,2026-02-07,1,1.05,True
45,Kola Koala,1254.91,1373.29,9,0.3,2026-02-04,4,1.25,True
46,[WGS-B] BK,1250.93,1371.17,8,0.27,2026-02-02,6,1.25,True
47,jamiebagley233,1247.19,1369.16,10,0.33,2026-02-06,2,1.25,True
48,jjjeffer78,1225.75,1357.2,22,0.73,2026-02-03,5,1.1,True
49,DavidPrime83,1192.31,1336.81,13,0.43,2026-02-08,0,1.025,True
50,MorganMacabre,1167.52,1319.88,7,0.23,2026-02-08,0,1.075,True
51,Coyface,1150.4,1306.98,13,0.43,2026-02-03,5,1.025,True
52,benreichardt,1132.57,1292.2,14,0.47,2026-02-05,3,1.025,True
53,Hfmotta,1130.3,1290.19,18,0.6,2026-02-04,4,1.1,True
