active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2788.45,2116.77,66,1.0,2026-02-09,0,1.2,True
2,Jeeda Sensei,2717.45,2033.82,71,1.0,2026-02-09,0,1.025,True
3,N Prime,2667.2,1986.09,27,0.9,2026-02-09,0,1.225,True
4,S31gn3ur Chr3t13n,2603.01,1933.81,57,1.0,2026-02-09,0,1.025,True
5,Quali,2592.99,1926.34,86,1.0,2026-02-09,0,1.025,True
6,luisarlen23,2549.89,1895.94,34,1.0,2026-02-07,2,1.025,True
7,Skoops!,2537.71,1887.8,49,1.0,2026-02-09,0,1.025,True
,camoutbussin,2428.66,1822.13,32,1.0,2026-01-30,10,1.05,False
,m.melkowski1,2396.06,1804.54,42,1.0,2026-01-02,38,1.05,False
8,Siker_7,2366.68,1789.34,39,1.0,2026-02-08,1,1.025,True
9,Xrenoid,2364.01,1787.98,50,1.0,2026-02-09,0,1.1,True
,Blumpo Gripliskin,2331.41,1771.81,15,0.5,2026-01-23,17,1.025,False
,doniatka,2321.4,1766.97,30,1.0,2026-01-19,21,1.1,False
10,Conroy Milk,2222.3,1721.84,28,0.93,2026-02-07,2,1.025,True
,Zu,2208.04,1715.71,10,0.33,2025-11-28,73,1.1,False
11,btroitsk,2205.46,1714.61,36,1.0,2026-02-02,7,1.025,True
,austin_midd,2153.98,1693.21,16,0.53,2025-12-20,51,1.025,False
,Rubens,2148.82,1691.12,10,0.33,2025-12-09,62,1.025,False
,Mubirobiro [BR],2147.55,1690.6,14,0.47,2025-12-30,41,1.1,False
12,Skit,2119.03,1679.22,26,0.87,2026-02-09,0,1.025,True
,Jhon Whisky,2092.17,1668.74,5,0.17,2026-01-13,27,1.25,False
13,yaelsky96,2072.35,1661.15,11,0.37,2026-02-09,0,1.075,True
14,Dreamweaver,2006.58,1636.77,47,1.0,2026-02-09,0,1.025,True
15,Reynauld,1960.31,1620.3,16,0.53,2026-02-08,1,1.2,True
,AGR_Inbound,1960.17,1620.25,6,0.2,2025-12-03,68,1.05,False
,Dan,1959.06,1619.86,13,0.43,2025-12-03,68,1.025,False
,ricardo_lbrugnago,1943.79,1614.54,4,0.13,2026-01-17,23,1.25,False
,gitm_4,1939.69,1613.12,14,0.47,2026-01-16,24,1.05,False
16,blankE,1926.59,1608.61,47,1.0,2026-02-09,0,1.025,True
,Covert Skeleton,1910.68,1603.19,11,0.37,2026-01-15,25,1.25,False
,Nocek,1880.47,1593.04,16,0.53,2025-12-10,61,1.1,False
17,fmc91,1860.4,1586.41,13,0.43,2026-02-08,1,1.025,True
18,tsromanow,1846.48,1581.86,25,0.83,2026-02-08,1,1.025,True
,Vadd,1843.11,1580.76,4,0.13,2025-12-05,66,1.2,False
19,genevrier_ou,1841.86,1580.36,33,1.0,2026-02-09,0,1.05,True
,Madnukin,1821.16,1573.68,5,0.17,2026-01-30,10,1.25,False
,TheHunter222,1810.17,1570.17,23,0.77,2026-02-01,8,1.025,False
20,masterv5983,1799.88,1566.9,41,1.0,2026-02-09,0,1.025,True
,AniBunny,1791.27,1564.19,3,0.1,2026-02-09,0,1.075,False
,DIBRAS,1774.94,1559.07,6,0.2,2025-12-31,40,1.05,False
21,Laska,1748.01,1550.76,14,0.47,2026-02-07,2,1.25,True
,Thanos,1737.64,1547.59,2,0.07,2025-12-28,43,1.025,False
22,Booorman,1736.78,1547.33,8,0.27,2026-02-02,7,1.1,True
,mishaaku,1729.64,1545.16,4,0.13,2025-11-15,86,1.05,False
,greattwizzler,1725.35,1543.86,3,0.1,2025-12-03,68,1.025,False
,Proxy,1715.48,1540.89,1,0.03,2025-11-17,84,1.0,False
,Thursday,1714.3,1540.54,1,0.03,2025-11-10,91,1.0,False
,GeekDoesStuff,1709.93,1539.23,1,0.03,2025-11-24,77,1.0,False
,Masterspades,1709.11,1538.98,2,0.07,2025-11-26,75,1.25,False
