active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2848.3,2141.19,125,1.0,2026-01-27,0,1.025,True
2,Jeeda Sensei,2764.98,2005.64,58,1.0,2026-01-27,0,1.025,True
3,N Prime,2758.9,1999.3,89,1.0,2026-01-24,3,1.1,True
4,Quali,2637.91,1896.79,156,1.0,2026-01-27,0,1.025,True
5,Blumpo Gripliskin,2608.08,1876.37,70,1.0,2026-01-23,4,1.025,True
6,camoutbussin,2581.82,1859.52,42,1.0,2026-01-25,2,1.075,True
7,S31gn3ur Chr3t13n,2571.84,1853.35,117,1.0,2026-01-27,0,1.025,True
8,luisarlen23,2570.1,1852.29,28,0.93,2026-01-27,0,1.05,True
9,Skoops!,2504.87,1814.93,68,1.0,2026-01-27,0,1.025,True
10,Xrenoid,2478.06,1800.79,104,1.0,2026-01-26,1,1.05,True
11,Siker_7,2447.13,1785.21,34,1.0,2026-01-27,0,1.025,True
12,btroitsk,2400.2,1762.9,97,1.0,2026-01-24,3,1.25,True
13,maximeeepje,2169.22,1669.92,48,1.0,2026-01-22,5,1.025,True
14,Dreamweaver,2118.78,1652.31,68,1.0,2026-01-27,0,1.075,True
15,Reynauld,2025.47,1621.57,14,0.47,2026-01-27,0,1.025,True
16,TheHunter222,2010.2,1616.74,42,1.0,2026-01-26,1,1.1,True
17,Conroy Milk,2004.07,1614.82,19,0.63,2026-01-26,1,1.025,True
18,masterv5983,1816.51,1559.63,106,1.0,2026-01-25,2,1.1,True
19,genevrier_ou,1814.41,1559.05,25,0.83,2026-01-27,0,1.05,True
20,blankE,1804.03,1556.19,86,1.0,2026-01-23,4,1.025,True
21,Skit,1784.93,1550.97,15,0.5,2026-01-27,0,1.025,True
22,ciga,1744.23,1540.05,45,1.0,2026-01-24,3,1.025,True
23,Booorman,1740.05,1538.95,11,0.37,2026-01-26,1,1.25,True
24,TheDimedroll,1677.1,1522.64,13,0.43,2026-01-22,5,1.25,True
25,khang.pham2401,1649.09,1515.6,32,1.0,2026-01-21,6,1.25,True
26,Odin_Gr,1637.28,1512.67,17,0.57,2026-01-20,7,1.15,True
27,Коля Зман,1612.44,1506.59,18,0.6,2026-01-26,1,1.225,True
28,hubby26,1555.05,1492.95,11,0.37,2026-01-25,2,1.15,True
29,Xial,1552.81,1492.43,8,0.27,2026-01-25,2,1.25,True
30,Frango,1549.5,1491.67,17,0.57,2026-01-27,0,1.025,True
31,yaelsky96,1527.36,1486.6,19,0.63,2026-01-27,0,1.025,True
32,schmendrikson,1495.17,1478.78,25,0.83,2026-01-27,0,1.125,True
33,JarJar,1487.49,1476.09,60,1.0,2026-01-26,1,1.025,True
34,tsromanow,1481.44,1473.98,18,0.6,2026-01-24,3,1.025,True
35,Xunz,1436.04,1457.99,20,0.67,2026-01-27,0,1.25,True
36,Lovis,1421.8,1452.9,28,0.93,2026-01-24,3,1.05,True
37,Коmар,1417.7,1451.43,35,1.0,2026-01-25,2,1.025,True
38,(-.-)Zzz,1410.47,1448.83,9,0.3,2026-01-22,5,1.25,True
39,flowerlady32,1396.38,1443.71,29,0.97,2026-01-20,7,1.025,True
40,WhiteNorth,1392.6,1442.33,8,0.27,2026-01-27,0,1.075,True
41,valtry,1376.08,1436.22,7,0.23,2026-01-27,0,1.075,True
42,Delta.357,1364.81,1432.0,7,0.23,2026-01-23,4,1.075,True
43,Varravann,1362.88,1431.27,17,0.57,2026-01-26,1,1.025,True
44,Kingdedede bobo,1333.94,1420.12,8,0.27,2026-01-21,6,1.1,True
45,Grimning,1310.32,1410.66,25,0.83,2026-01-26,1,1.025,True
46,augustboyer198,1295.34,1404.46,12,0.4,2026-01-26,1,1.2,True
47,jamiebagley233,1279.44,1397.67,9,0.3,2026-01-26,1,1.075,True
48,Hirow,1271.87,1394.36,26,0.87,2026-01-27,0,1.05,True
49,DavidPrime83,1240.63,1380.02,7,0.23,2026-01-27,0,1.25,True
50,jjjeffer78,1227.78,1373.75,19,0.63,2026-01-25,2,1.025,True
51,HZaninelli,1200.19,1359.4,65,1.0,2026-01-26,1,1.05,True
52,Pask74,1193.57,1355.74,7,0.23,2026-01-21,6,1.025,True
53,hrejarz2,1183.95,1350.25,72,1.0,2026-01-27,0,1.05,True
54,benreichardt,1183.36,1349.91,10,0.33,2026-01-26,1,1.05,True
55,Bananahammockjoe,1182.69,1349.51,10,0.33,2026-01-22,5,1.1,True
56,cannedLED,1170.37,1342.1,7,0.23,2026-01-21,6,1.15,True
57,Mr_Aapies,1154.43,1331.86,12,0.4,2026-01-27,0,1.1,True
58,Halswein,1150.78,1329.39,9,0.3,2026-01-26,1,1.125,True
59,Hfmotta,1119.96,1306.28,16,0.53,2026-01-26,1,1.025,True
