date,player_name,games_played,rank,score,rating,rating_change,confidence
2025-12-02,(-.-)Zzz,1,18.0,23925.0,1577.5,77.5,0.03
2025-12-03,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-04,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-05,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-06,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-07,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-08,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-09,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-10,(-.-)Zzz,1,,,1577.5,0.0,0.03
2025-12-11,(-.-)Zzz,2,25.0,20126.0,1457.82,-119.68,0.07
2025-12-12,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-13,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-14,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-15,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-16,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-17,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-18,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-19,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-20,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-21,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-22,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-23,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-25,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-26,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-27,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-28,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-29,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-30,(-.-)Zzz,2,,,1457.82,0.0,0.07
2025-12-31,(-.-)Zzz,2,,,1457.82,0.0,0.07
2026-01-01,(-.-)Zzz,2,,,1457.82,0.0,0.07
2026-01-02,(-.-)Zzz,2,,,1457.82,0.0,0.07
2026-01-03,(-.-)Zzz,2,,,1457.82,0.0,0.07
2026-01-04,(-.-)Zzz,2,,,1457.82,0.0,0.07
2026-01-05,(-.-)Zzz,2,,,1457.82,0.0,0.07
2026-01-06,(-.-)Zzz,3,20.0,21441.0,1411.45,-46.37,0.1
2026-01-07,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-08,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-09,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-10,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-11,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-12,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-13,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-14,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-15,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-16,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-17,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-18,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-19,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-20,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-21,(-.-)Zzz,3,,,1411.45,0.0,0.1
2026-01-22,(-.-)Zzz,4,18.0,22894.0,1366.63,-44.82,0.13
2026-01-23,(-.-)Zzz,4,,,1366.63,0.0,0.13
2025-12-21,(Chatuba)-Mazuru,1,30.0,16617.0,1466.01,-33.99,0.03
2025-12-22,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-23,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-25,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-26,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-27,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-28,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-29,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-30,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2025-12-31,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2026-01-01,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2026-01-02,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2026-01-03,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2026-01-04,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2026-01-05,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
2026-01-06,(Chatuba)-Mazuru,1,,,1466.01,0.0,0.03
