active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2806.68,2116.18,63,1.0,2026-01-27,0,1.025,True
2,Jeeda Sensei,2692.8,1987.99,58,1.0,2026-01-27,0,1.025,True
3,N Prime,2657.95,1957.82,25,0.83,2026-01-24,3,1.1,True
4,Quali,2550.29,1879.42,73,1.0,2026-01-27,0,1.025,True
5,luisarlen23,2482.7,1838.22,28,0.93,2026-01-27,0,1.05,True
6,S31gn3ur Chr3t13n,2482.4,1838.04,45,1.0,2026-01-27,0,1.025,True
7,camoutbussin,2479.64,1836.46,30,1.0,2026-01-25,2,1.075,True
8,Skoops!,2423.48,1805.7,40,1.0,2026-01-27,0,1.025,True
9,Xrenoid,2376.44,1781.79,45,1.0,2026-01-26,1,1.05,True
10,Blumpo Gripliskin,2355.93,1771.81,15,0.5,2026-01-23,4,1.025,True
11,Siker_7,2354.38,1771.07,32,1.0,2026-01-27,0,1.025,True
12,btroitsk,2251.43,1724.58,34,1.0,2026-01-24,3,1.25,True
13,Dreamweaver,2028.91,1638.62,38,1.0,2026-01-27,0,1.075,True
14,Reynauld,1963.72,1616.17,14,0.47,2026-01-27,0,1.025,True
15,Conroy Milk,1941.13,1608.62,19,0.63,2026-01-26,1,1.025,True
16,yaelsky96,1900.24,1595.25,8,0.27,2026-01-27,0,1.025,True
17,TheHunter222,1849.72,1579.2,21,0.7,2026-01-26,1,1.1,True
18,maximeeepje,1826.24,1571.91,10,0.33,2026-01-22,5,1.025,True
19,genevrier_ou,1757.52,1551.19,25,0.83,2026-01-27,0,1.05,True
20,masterv5983,1750.24,1549.04,37,1.0,2026-01-25,2,1.1,True
21,Skit,1742.91,1546.89,15,0.5,2026-01-27,0,1.025,True
22,blankE,1737.75,1545.38,35,1.0,2026-01-23,4,1.025,True
23,ciga,1688.18,1531.15,35,1.0,2026-01-24,3,1.025,True
24,khang.pham2401,1596.46,1506.01,30,1.0,2026-01-21,6,1.25,True
25,Коля Зман,1576.58,1500.78,18,0.6,2026-01-26,1,1.225,True
26,Frango,1521.04,1486.59,17,0.57,2026-01-27,0,1.025,True
27,Odin_Gr,1506.6,1483.02,14,0.47,2026-01-20,7,1.15,True
28,Xial,1505.96,1482.86,8,0.27,2026-01-25,2,1.25,True
29,schmendrikson,1503.03,1482.14,16,0.53,2026-01-27,0,1.125,True
30,Коmар,1501.52,1481.77,21,0.7,2026-01-25,2,1.025,True
31,hubby26,1499.57,1481.23,11,0.37,2026-01-25,2,1.15,True
32,tsromanow,1462.86,1467.01,18,0.6,2026-01-24,3,1.025,True
33,JarJar,1449.21,1461.7,32,1.0,2026-01-26,1,1.025,True
34,Xunz,1422.86,1451.34,20,0.67,2026-01-27,0,1.25,True
35,Lovis,1411.57,1446.85,28,0.93,2026-01-24,3,1.05,True
36,Varravann,1394.32,1439.92,7,0.23,2026-01-26,1,1.025,True
37,WhiteNorth,1392.3,1439.1,8,0.27,2026-01-27,0,1.075,True
38,valtry,1379.74,1433.98,7,0.23,2026-01-27,0,1.075,True
39,Delta.357,1369.25,1429.65,7,0.23,2026-01-23,4,1.075,True
40,Grimning,1316.24,1406.88,25,0.83,2026-01-26,1,1.025,True
41,Hirow,1301.33,1400.12,15,0.5,2026-01-27,0,1.05,True
42,jamiebagley233,1282.85,1391.49,9,0.3,2026-01-26,1,1.075,True
43,DavidPrime83,1255.97,1378.28,7,0.23,2026-01-27,0,1.25,True
44,jjjeffer78,1238.05,1368.96,19,0.63,2026-01-25,2,1.025,True
45,Pask74,1208.92,1352.73,7,0.23,2026-01-21,6,1.025,True
46,hrejarz2,1206.38,1351.23,23,0.77,2026-01-27,0,1.05,True
47,Bananahammockjoe,1205.16,1350.51,9,0.3,2026-01-22,5,1.1,True
48,benreichardt,1198.45,1346.48,10,0.33,2026-01-26,1,1.05,True
49,HZaninelli,1185.95,1338.7,11,0.37,2026-01-26,1,1.05,True
50,Mr_Aapies,1172.25,1329.69,12,0.4,2026-01-27,0,1.1,True
51,Halswein,1167.87,1326.7,9,0.3,2026-01-26,1,1.125,True
52,Hfmotta,1135.71,1302.47,16,0.53,2026-01-26,1,1.025,True
