active_rank,player_name,rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2796.2,61,1.0,2026-01-25,0,1.025,True
2,Jeeda Sensei,2783.28,56,1.0,2026-01-25,0,1.025,True
3,N Prime,2781.04,25,0.83,2026-01-24,1,1.1,True
4,Quali,2758.01,71,1.0,2026-01-25,0,1.025,True
5,S31gn3ur Chr3t13n,2745.44,43,1.0,2026-01-25,0,1.025,True
6,camoutbussin,2734.93,30,1.0,2026-01-25,0,1.075,True
7,luisarlen23,2727.84,27,0.9,2026-01-25,0,1.025,True
,m.melkowski1,2710.44,42,1.0,2026-01-02,23,1.05,False
8,Skoops!,2695.62,38,1.0,2026-01-25,0,1.025,True
9,Blumpo Gripliskin,2676.21,15,0.5,2026-01-23,2,1.025,True
10,doniatka,2670.2,30,1.0,2026-01-19,6,1.1,True
11,Xrenoid,2669.11,44,1.0,2026-01-24,1,1.025,True
12,Siker_7,2631.1,30,1.0,2026-01-25,0,1.025,True
13,btroitsk,2604.39,34,1.0,2026-01-24,1,1.25,True
,Zu,2587.19,10,0.33,2025-11-28,58,1.1,False
,austin_midd,2537.24,16,0.53,2025-12-20,36,1.025,False
,Rubens,2532.09,10,0.33,2025-12-09,47,1.025,False
,Mubirobiro [BR],2530.82,14,0.47,2025-12-30,26,1.1,False
,Jhon Whisky,2471.37,5,0.17,2026-01-13,12,1.25,False
14,Reynauld,2352.11,12,0.4,2026-01-23,2,1.1,True
15,Dreamweaver,2344.76,37,1.0,2026-01-24,1,1.025,True
,AGR_Inbound,2299.23,6,0.2,2025-12-03,53,1.05,False
16,TheHunter222,2298.61,20,0.67,2026-01-22,3,1.025,True
,Dan,2297.61,13,0.43,2025-12-03,53,1.025,False
,ricardo_lbrugnago,2274.99,4,0.13,2026-01-17,8,1.25,False
,gitm_4,2268.85,14,0.47,2026-01-16,9,1.05,False
,Covert Skeleton,2224.26,11,0.37,2026-01-15,10,1.25,False
17,Conroy Milk,2214.56,18,0.6,2026-01-25,0,1.025,True
,Booorman,2211.17,5,0.17,2025-12-09,47,1.075,False
,Nocek,2176.0,16,0.53,2025-12-10,46,1.1,False
18,genevrier_ou,2121.53,24,0.8,2026-01-25,0,1.05,True
,Vadd,2113.99,4,0.13,2025-12-05,51,1.2,False
19,maximeeepje,2066.94,10,0.33,2026-01-22,3,1.025,True
,Laska,2005.04,13,0.43,2026-01-14,11,1.05,False
,DIBRAS,1995.28,6,0.2,2025-12-31,25,1.05,False
,Madnukin,1944.26,4,0.13,2025-11-21,65,1.05,False
20,masterv5983,1936.71,37,1.0,2026-01-25,0,1.1,True
,Thanos,1928.05,2,0.07,2025-12-28,28,1.025,False
,yaelsky96,1925.01,6,0.2,2026-01-25,0,1.1,False
21,blankE,1914.83,35,1.0,2026-01-23,2,1.025,True
,mishaaku,1913.49,4,0.13,2025-11-15,71,1.05,False
,greattwizzler,1905.66,3,0.1,2025-12-03,53,1.025,False
,Proxy,1887.59,1,0.03,2025-11-17,69,1.0,False
,Thursday,1885.43,1,0.03,2025-11-10,76,1.0,False
,GeekDoesStuff,1877.4,1,0.03,2025-11-24,62,1.0,False
,Masterspades,1875.91,2,0.07,2025-11-26,60,1.25,False
,grahamthehuman,1866.84,4,0.13,2025-11-27,59,1.05,False
,imnickio2,1858.66,5,0.17,2025-12-12,44,1.25,False
,BekfastStealer,1857.79,1,0.03,2025-11-17,69,1.0,False
,adresmarka,1851.71,1,0.03,2025-12-30,26,1.0,False
,r3coil,1851.28,2,0.07,2025-11-25,61,1.25,False
,Black_Stark,1846.37,1,0.03,2025-11-16,70,1.0,False
,Robsje,1843.05,1,0.03,2025-11-12,74,1.0,False
,headhuntman,1836.39,1,0.03,2025-11-26,60,1.0,False
,AxelKeyzer,1834.07,1,0.03,2026-01-10,15,1.0,False
,Jannik,1833.57,3,0.1,2025-11-15,71,1.075,False
,Ralf Schumacher,1828.95,1,0.03,2026-01-09,16,1.0,False
,patrykelektryk,1828.44,2,0.07,2026-01-09,16,1.175,False
,Gone dark.,1827.97,1,0.03,2025-11-10,76,1.0,False
22,ciga,1827.25,35,1.0,2026-01-24,1,1.025,True
,seagull,1826.8,1,0.03,2025-12-03,53,1.0,False
,Ljinsta_SKOJ,1821.16,2,0.07,2026-01-06,19,1.075,False
23,Skit,1820.04,13,0.43,2026-01-25,0,1.025,True
,semperpsychotic,1817.39,6,0.2,2025-12-23,33,1.25,False
,Calyceus,1817.38,1,0.03,2025-11-14,72,1.0,False
,Liz,1816.49,4,0.13,2025-11-21,65,1.05,False
,horst-van-panzer,1814.51,2,0.07,2025-11-27,59,1.075,False
,J.M.AVON,1811.19,2,0.07,2025-11-14,72,1.05,False
,Augustin,1810.3,2,0.07,2025-12-28,28,1.25,False
,Nando Rekel,1809.84,1,0.03,2025-11-16,70,1.0,False
,HungryFred,1809.32,1,0.03,2025-11-17,69,1.0,False
,Lycerker,1807.65,1,0.03,2025-11-24,62,1.0,False
,Friendo,1805.45,1,0.03,2025-11-22,64,1.0,False
,AniBunny,1802.27,1,0.03,2026-01-06,19,1.0,False
,Zardon,1801.57,1,0.03,2025-11-29,57,1.0,False
,demitype,1795.68,1,0.03,2025-11-24,62,1.0,False
,micerang,1793.71,1,0.03,2025-11-12,74,1.0,False
,deadsanta,1793.69,1,0.03,2026-01-08,17,1.0,False
,Brontozaurul,1791.37,1,0.03,2025-12-16,40,1.0,False
,Gynkou,1787.79,1,0.03,2025-12-26,30,1.0,False
,AHoboWithASpork,1787.36,5,0.17,2026-01-07,18,1.1,False
,Barbaferro,1785.2,4,0.13,2026-01-05,20,1.025,False
,AoG Chain,1783.19,1,0.03,2025-11-11,75,1.0,False
,BigOak,1781.79,11,0.37,2025-12-31,25,1.025,False
,TOBI,1781.28,1,0.03,2025-11-30,56,1.0,False
,Scarmind.Italy,1776.51,1,0.03,2025-12-16,40,1.0,False
,Aracnideo,1771.86,1,0.03,2026-01-06,19,1.0,False
,nosky,1769.32,2,0.07,2026-01-25,0,1.05,False
,T1D,1764.89,1,0.03,2025-11-11,75,1.0,False
,cottleoscar,1763.57,1,0.03,2025-11-22,64,1.0,False
,L@@-Yo$h,1763.39,1,0.03,2025-11-13,73,1.0,False
,Moun Moun,1761.05,1,0.03,2025-11-15,71,1.0,False
,Xinnzo,1759.07,1,0.03,2025-11-16,70,1.0,False
,Bren4azer,1758.61,1,0.03,2025-11-10,76,1.0,False
,cpapson2,1758.55,1,0.03,2025-12-21,35,1.0,False
,Tiger_Ice,1757.47,1,0.03,2025-12-26,30,1.0,False
,Mathews,1753.38,1,0.03,2025-12-04,52,1.0,False
,john,1753.09,1,0.03,2025-11-18,68,1.0,False
,vitorluizc.mioni,1752.33,1,0.03,2025-12-29,27,1.0,False
,wsmith,1748.49,1,0.03,2025-12-25,31,1.0,False
,Clac,1746.58,1,0.03,2025-11-11,75,1.0,False
,Barbatus Lupus Rex,1745.04,1,0.03,2026-01-03,22,1.0,False
,kaiserbeel,1744.72,1,0.03,2025-11-27,59,1.0,False
,skye,1744.13,1,0.03,2025-11-14,72,1.0,False
,alexander.r,1743.81,1,0.03,2025-12-12,44,1.0,False
,Simmonsfield,1742.09,1,0.03,2025-11-29,57,1.0,False
,Graeme,1740.67,1,0.03,2025-12-03,53,1.0,False
,Biferti,1740.36,1,0.03,2025-11-20,66,1.0,False
,TheDimedroll,1740.23,1,0.03,2026-01-22,3,1.0,False
,SmallDEnergy,1738.31,1,0.03,2026-01-07,18,1.0,False
,Plattinum,1735.14,1,0.03,2025-12-28,28,1.0,False
,WhatATrueHero,1734.95,4,0.13,2025-11-21,65,1.05,False
,Bwooo,1734.18,4,0.13,2025-11-20,66,1.075,False
,Gannon,1732.29,1,0.03,2025-11-24,62,1.0,False
,IamSparks,1731.65,2,0.07,2025-11-16,70,1.05,False
,LaQcaracha,1731.49,1,0.03,2025-11-25,61,1.0,False
,cyanx7,1730.64,2,0.07,2025-11-16,70,1.075,False
,joes.feliciani,1730.17,1,0.03,2025-11-22,64,1.0,False
,rudedawg,1729.75,4,0.13,2025-12-26,30,1.025,False
,Sensei Snoops,1728.78,1,0.03,2026-01-08,17,1.0,False
,Heros are Dead,1727.27,3,0.1,2025-11-30,56,1.075,False
,Ally,1726.52,2,0.07,2025-11-21,65,1.025,False
,gg,1725.53,1,0.03,2025-12-07,49,1.0,False
,Il sottocollo di M.Costanzo,1725.34,2,0.07,2025-12-06,50,1.25,False
,danger guy,1722.8,12,0.4,2025-12-05,51,1.025,False
,Frunz15,1722.47,4,0.13,2025-12-17,39,1.1,False
,Valiant Coruscare,1722.34,1,0.03,2025-11-29,57,1.0,False
,TTobing,1721.57,2,0.07,2025-12-26,30,1.25,False
,snake vivian,1719.81,1,0.03,2026-01-09,16,1.0,False
,Ahem,1719.27,4,0.13,2025-11-28,58,1.025,False
,Kazed,1717.27,1,0.03,2025-12-06,50,1.0,False
,BattleOfWits,1714.37,1,0.03,2025-11-30,56,1.0,False
,ForgottenSouls,1713.33,1,0.03,2025-11-17,69,1.0,False
,Ch1ckenCh0wMe1n,1712.23,2,0.07,2026-01-18,7,1.15,False
,0mexol,1709.42,9,0.3,2026-01-05,20,1.1,False
,inyurface,1706.58,1,0.03,2025-12-14,42,1.0,False
,RiceTea,1705.83,1,0.03,2025-11-13,73,1.0,False
,SDubya,1701.23,3,0.1,2026-01-18,7,1.25,False
,NAN (bot),1699.58,1,0.03,2025-11-11,75,1.0,False
,Punch WB,1699.24,2,0.07,2026-01-08,17,1.25,False
,Kaza,1695.09,1,0.03,2025-12-04,52,1.0,False
,samoray737,1693.78,4,0.13,2025-12-20,36,1.25,False
,The Hamilton Ham Candle,1692.58,2,0.07,2025-11-16,70,1.075,False
,Handsome_Rakshas,1692.48,2,0.07,2025-11-18,68,1.2,False
,Donalgo,1692.14,1,0.03,2026-01-20,5,1.0,False
,Sly_C0rVid,1691.83,1,0.03,2025-11-23,63,1.0,False
,potato daddy,1690.5,1,0.03,2025-11-12,74,1.0,False
,AnchorTide,1688.03,1,0.03,2025-12-10,46,1.0,False
,Sif The Great Wolf,1687.34,1,0.03,2026-01-21,4,1.0,False
,BROK3N Fury,1685.42,1,0.03,2025-11-25,61,1.0,False
,tmczar,1683.36,1,0.03,2025-11-27,59,1.0,False
,Laristin,1680.43,1,0.03,2026-01-19,6,1.0,False
,Dillicious,1678.64,5,0.17,2025-12-20,36,1.225,False
,Valerio,1675.1,3,0.1,2025-11-25,61,1.175,False
,Young Catweazle,1667.02,6,0.2,2026-01-17,8,1.25,False
24,khang.pham2401,1665.07,30,1.0,2026-01-21,4,1.25,True
,Exres,1662.51,1,0.03,2025-12-10,46,1.0,False
,Bolid,1657.74,1,0.03,2025-11-18,68,1.0,False
,nAhZz,1655.85,2,0.07,2025-11-14,72,1.025,False
,owesow23,1654.71,1,0.03,2025-11-16,70,1.0,False
,Roob82,1647.92,5,0.17,2026-01-10,15,1.075,False
,Pastori's,1647.92,2,0.07,2025-12-18,38,1.025,False
,Dunkel,1647.78,1,0.03,2025-11-11,75,1.0,False
,Boris,1647.59,1,0.03,2025-11-29,57,1.0,False
,Osel,1647.33,2,0.07,2025-12-25,31,1.225,False
,Njitself,1644.25,2,0.07,2025-11-19,67,1.025,False
,minneymcshort,1641.68,1,0.03,2025-11-23,63,1.0,False
,TerryB_2,1641.17,4,0.13,2025-12-12,44,1.075,False
,Mr.Schneid3r,1636.14,1,0.03,2026-01-25,0,1.0,False
,FUSNM,1633.6,1,0.03,2025-12-11,45,1.0,False
,Noiru,1632.15,4,0.13,2026-01-24,1,1.25,False
,OldGregg,1631.45,3,0.1,2025-12-13,43,1.2,False
,Hildarkien,1628.08,2,0.07,2025-12-25,31,1.25,False
,Sam-G,1626.53,1,0.03,2025-11-15,71,1.0,False
,lizardwizard,1623.67,1,0.03,2026-01-01,24,1.0,False
,Stubbsius,1623.44,1,0.03,2025-12-09,47,1.0,False
,Bloody,1619.55,1,0.03,2025-12-19,37,1.0,False
,Dangil Sparda,1609.24,6,0.2,2026-01-11,14,1.2,False
,Kheandre,1604.07,1,0.03,2026-01-20,5,1.0,False
25,Frango,1603.28,15,0.5,2026-01-25,0,1.025,True
,Mrluigi1313,1602.21,1,0.03,2025-12-30,26,1.0,False
,Disorder,1601.93,1,0.03,2025-11-25,61,1.0,False
,Ben the Human,1601.59,1,0.03,2025-12-10,46,1.0,False
,pyrevolved,1599.75,2,0.07,2025-11-22,64,1.05,False
,Millonmaster,1598.9,1,0.03,2025-11-18,68,1.0,False
,Xel,1596.92,1,0.03,2025-11-19,67,1.0,False
,Kraseg,1596.84,1,0.03,2025-11-26,60,1.0,False
,riccardovercelli99,1596.43,1,0.03,2025-11-27,59,1.0,False
,Ravenroks,1594.87,1,0.03,2025-11-12,74,1.0,False
,Ento,1592.05,1,0.03,2026-01-22,3,1.0,False
,nikkHz,1588.75,1,0.03,2025-11-29,57,1.0,False
,Brejan,1587.59,1,0.03,2025-12-22,34,1.0,False
,Api,1587.48,2,0.07,2025-11-20,66,1.15,False
,Likoukos,1586.4,4,0.13,2025-12-12,44,1.025,False
,TsunaHan,1584.26,1,0.03,2025-11-20,66,1.0,False
,Akovoodo,1582.8,1,0.03,2025-12-04,52,1.0,False
,Sinister Fang,1579.24,2,0.07,2025-12-02,54,1.1,False
,ccso237,1577.59,1,0.03,2025-11-11,75,1.0,False
,Britalin,1577.47,1,0.03,2025-11-30,56,1.0,False
,Motorni,1574.71,1,0.03,2026-01-12,13,1.0,False
,Miroko,1572.44,5,0.17,2025-11-22,64,1.025,False
,SuMangoTango,1571.64,1,0.03,2025-11-15,71,1.0,False
,MEOW Keys,1571.61,1,0.03,2025-11-21,65,1.0,False
,xmichmen,1571.36,2,0.07,2025-11-20,66,1.15,False
,Baruha,1568.83,1,0.03,2025-11-12,74,1.0,False
,Doug_D@ta_Scientist,1568.65,4,0.13,2025-12-18,38,1.075,False
,radioeddyo,1567.34,1,0.03,2025-12-13,43,1.0,False
,Flieguen Orange,1566.98,1,0.03,2025-11-14,72,1.0,False
,"Hurok, Master Climber",1564.55,1,0.03,2025-12-05,51,1.0,False
,Rush B!!!!!!,1560.94,2,0.07,2025-11-11,75,1.025,False
,CursedProtector,1558.72,2,0.07,2025-11-15,71,1.1,False
,Leshy,1557.88,1,0.03,2025-12-04,52,1.0,False
,elmrealm,1556.96,3,0.1,2025-11-21,65,1.075,False
,KLAX,1556.3,3,0.1,2026-01-21,4,1.25,False
,ReneLeBebe,1548.41,2,0.07,2025-11-28,58,1.05,False
,PengWIN,1547.82,1,0.03,2025-11-15,71,1.0,False
,belladnl,1547.11,1,0.03,2025-12-10,46,1.0,False
,www.jimmyra97,1545.63,1,0.03,2026-01-04,21,1.0,False
,Member of the LGTV community,1545.48,1,0.03,2025-11-10,76,1.0,False
,AspenLog,1545.16,1,0.03,2025-11-12,74,1.0,False
,BTsin,1544.5,1,0.03,2026-01-17,8,1.0,False
,Gagglegork,1543.96,1,0.03,2025-12-09,47,1.0,False
,BaronCuckamedi,1537.15,1,0.03,2025-11-23,63,1.0,False
,bullzebub,1534.33,14,0.47,2026-01-03,22,1.15,False
,Mortis,1534.26,2,0.07,2026-01-07,18,1.25,False
,Ayngush,1528.19,1,0.03,2025-11-11,75,1.0,False
,DEATH ANGEL X1,1527.64,1,0.03,2025-11-16,70,1.0,False
26,schmendrikson,1527.39,15,0.5,2026-01-22,3,1.025,True
,Коля Зман,1527.06,17,0.57,2026-01-17,8,1.025,False
,Astral,1526.64,1,0.03,2025-12-10,46,1.0,False
,lordb3,1526.37,1,0.03,2025-11-19,67,1.0,False
,Bolado,1523.75,1,0.03,2025-11-14,72,1.0,False
,Alvarin,1522.71,3,0.1,2025-12-12,44,1.25,False
,DirtBoi,1522.42,1,0.03,2025-11-10,76,1.0,False
,PandaKitten,1521.31,1,0.03,2025-12-20,36,1.0,False
,Mascord,1519.98,2,0.07,2026-01-01,24,1.25,False
,BSSAndrea,1519.43,1,0.03,2025-12-19,37,1.0,False
,ChO,1518.68,4,0.13,2026-01-11,14,1.225,False
,Estolie,1518.42,1,0.03,2025-12-22,34,1.0,False
,windhamat01,1516.58,1,0.03,2026-01-11,14,1.0,False
,Gilgamesh,1515.18,1,0.03,2025-12-28,28,1.0,False
,Haffey,1512.69,3,0.1,2025-12-14,42,1.25,False
27,Odin_Gr,1511.85,14,0.47,2026-01-20,5,1.15,True
28,Xial,1510.81,8,0.27,2026-01-25,0,1.25,True
,deniu,1509.7,1,0.03,2025-12-11,45,1.0,False
,linniepinnie,1508.99,1,0.03,2025-11-16,70,1.0,False
,MT6,1508.12,1,0.03,2026-01-10,15,1.0,False
,leposs,1507.84,1,0.03,2025-11-15,71,1.0,False
,Ares [ESP],1506.01,1,0.03,2025-12-15,41,1.0,False
29,Коmар,1503.51,21,0.7,2026-01-25,0,1.025,True
,blablaji,1502.87,1,0.03,2025-12-20,36,1.0,False
,Gschissana,1502.24,1,0.03,2025-11-10,76,1.0,False
,Ongon,1502.02,4,0.13,2025-11-28,58,1.05,False
,Sol789,1500.0,1,0.03,2025-12-06,50,1.0,False
30,hubby26,1499.96,11,0.37,2026-01-25,0,1.15,True
,Skaer,1499.05,1,0.03,2025-11-20,66,1.0,False
,Strobocop,1498.9,2,0.07,2025-11-25,61,1.2,False
,DailyRunCrasher,1498.72,4,0.13,2025-12-19,37,1.075,False
