active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2806.68,2116.18,63,1.0,2026-01-27,0,1.025,True
2,Jeeda Sensei,2692.8,1987.99,58,1.0,2026-01-27,0,1.025,True
3,N Prime,2657.95,1957.82,25,0.83,2026-01-24,3,1.1,True
4,Quali,2550.29,1879.42,73,1.0,2026-01-27,0,1.025,True
5,luisarlen23,2482.7,1838.22,28,0.93,2026-01-27,0,1.05,True
6,S31gn3ur Chr3t13n,2482.4,1838.04,45,1.0,2026-01-27,0,1.025,True
7,camoutbussin,2479.64,1836.46,30,1.0,2026-01-25,2,1.075,True
8,Skoops!,2423.48,1805.7,40,1.0,2026-01-27,0,1.025,True
,m.melkowski1,2421.26,1804.54,42,1.0,2026-01-02,25,1.05,False
9,Xrenoid,2376.44,1781.79,45,1.0,2026-01-26,1,1.05,True
10,Blumpo Gripliskin,2355.93,1771.81,15,0.5,2026-01-23,4,1.025,True
11,Siker_7,2354.38,1771.07,32,1.0,2026-01-27,0,1.025,True
,doniatka,2345.79,1766.97,30,1.0,2026-01-19,8,1.1,False
12,btroitsk,2251.43,1724.58,34,1.0,2026-01-24,3,1.25,True
,Zu,2230.43,1715.71,10,0.33,2025-11-28,60,1.1,False
,austin_midd,2175.14,1693.21,16,0.53,2025-12-20,38,1.025,False
,Rubens,2169.85,1691.12,10,0.33,2025-12-09,49,1.025,False
,Mubirobiro [BR],2168.55,1690.6,14,0.47,2025-12-30,28,1.1,False
,Jhon Whisky,2111.75,1668.74,5,0.17,2026-01-13,14,1.25,False
13,Dreamweaver,2028.91,1638.62,38,1.0,2026-01-27,0,1.075,True
,AGR_Inbound,1975.79,1620.25,6,0.2,2025-12-03,55,1.05,False
,Dan,1974.64,1619.86,13,0.43,2025-12-03,55,1.025,False
14,Reynauld,1963.72,1616.17,14,0.47,2026-01-27,0,1.025,True
,ricardo_lbrugnago,1958.86,1614.54,4,0.13,2026-01-17,10,1.25,False
,gitm_4,1954.63,1613.12,14,0.47,2026-01-16,11,1.05,False
15,Conroy Milk,1941.13,1608.62,19,0.63,2026-01-26,1,1.025,True
,Covert Skeleton,1924.64,1603.19,11,0.37,2026-01-15,12,1.25,False
16,yaelsky96,1900.24,1595.25,8,0.27,2026-01-27,0,1.025,True
,Nocek,1893.39,1593.04,16,0.53,2025-12-10,48,1.1,False
,Vadd,1854.7,1580.76,4,0.13,2025-12-05,53,1.2,False
17,TheHunter222,1849.72,1579.2,21,0.7,2026-01-26,1,1.1,True
18,maximeeepje,1826.24,1571.91,10,0.33,2026-01-22,5,1.025,True
,Laska,1789.69,1560.78,13,0.43,2026-01-14,13,1.05,False
,DIBRAS,1784.01,1559.07,6,0.2,2025-12-31,27,1.05,False
19,genevrier_ou,1757.52,1551.19,25,0.83,2026-01-27,0,1.05,True
,Madnukin,1754.56,1550.31,4,0.13,2025-11-21,67,1.05,False
20,masterv5983,1750.24,1549.04,37,1.0,2026-01-25,2,1.1,True
,Thanos,1745.29,1547.59,2,0.07,2025-12-28,30,1.025,False
21,Skit,1742.91,1546.89,15,0.5,2026-01-27,0,1.025,True
,Booorman,1738.88,1545.71,6,0.2,2026-01-26,1,1.25,False
22,blankE,1737.75,1545.38,35,1.0,2026-01-23,4,1.025,True
,mishaaku,1736.99,1545.16,4,0.13,2025-11-15,73,1.05,False
,greattwizzler,1732.53,1543.86,3,0.1,2025-12-03,55,1.025,False
,Proxy,1722.27,1540.89,1,0.03,2025-11-17,71,1.0,False
,Thursday,1721.05,1540.54,1,0.03,2025-11-10,78,1.0,False
,GeekDoesStuff,1716.5,1539.23,1,0.03,2025-11-24,64,1.0,False
,Masterspades,1715.65,1538.98,2,0.07,2025-11-26,62,1.25,False
,grahamthehuman,1710.53,1537.51,4,0.13,2025-11-27,61,1.05,False
,imnickio2,1705.9,1536.19,5,0.17,2025-12-12,46,1.25,False
,BekfastStealer,1705.41,1536.05,1,0.03,2025-11-17,71,1.0,False
,adresmarka,1701.98,1535.07,1,0.03,2025-12-30,28,1.0,False
,r3coil,1701.73,1535.0,2,0.07,2025-11-25,63,1.25,False
,Black_Stark,1698.96,1534.21,1,0.03,2025-11-16,72,1.0,False
,Robsje,1697.09,1533.67,1,0.03,2025-11-12,76,1.0,False
,headhuntman,1693.33,1532.61,1,0.03,2025-11-26,62,1.0,False
,AxelKeyzer,1692.03,1532.24,1,0.03,2026-01-10,17,1.0,False
,Jannik,1691.74,1532.16,3,0.1,2025-11-15,73,1.075,False
,Ralf Schumacher,1689.14,1531.42,1,0.03,2026-01-09,18,1.0,False
,patrykelektryk,1688.85,1531.34,2,0.07,2026-01-09,18,1.175,False
,Gone dark.,1688.59,1531.27,1,0.03,2025-11-10,78,1.0,False
23,ciga,1688.18,1531.15,35,1.0,2026-01-24,3,1.025,True
,seagull,1687.93,1531.08,1,0.03,2025-12-03,55,1.0,False
,Ljinsta_SKOJ,1684.75,1530.18,2,0.07,2026-01-06,21,1.075,False
,semperpsychotic,1682.62,1529.58,6,0.2,2025-12-23,35,1.25,False
,Calyceus,1682.62,1529.58,1,0.03,2025-11-14,74,1.0,False
,Liz,1682.11,1529.44,4,0.13,2025-11-21,67,1.05,False
,horst-van-panzer,1681.0,1529.13,2,0.07,2025-11-27,61,1.075,False
,J.M.AVON,1679.13,1528.6,2,0.07,2025-11-14,74,1.05,False
,Augustin,1678.63,1528.46,2,0.07,2025-12-28,30,1.25,False
,Nando Rekel,1678.37,1528.39,1,0.03,2025-11-16,72,1.0,False
,HungryFred,1678.08,1528.3,1,0.03,2025-11-17,71,1.0,False
,Lycerker,1677.13,1528.04,1,0.03,2025-11-24,64,1.0,False
,Friendo,1675.9,1527.69,1,0.03,2025-11-22,66,1.0,False
,AniBunny,1674.1,1527.19,1,0.03,2026-01-06,21,1.0,False
,Zardon,1673.71,1527.08,1,0.03,2025-11-29,59,1.0,False
,demitype,1670.39,1526.15,1,0.03,2025-11-24,64,1.0,False
,micerang,1669.29,1525.84,1,0.03,2025-11-12,76,1.0,False
,deadsanta,1669.27,1525.84,1,0.03,2026-01-08,19,1.0,False
,Brontozaurul,1667.97,1525.47,1,0.03,2025-12-16,42,1.0,False
,Gynkou,1665.95,1524.91,1,0.03,2025-12-26,32,1.0,False
,AHoboWithASpork,1665.71,1524.85,5,0.17,2026-01-07,20,1.1,False
,Barbaferro,1664.49,1524.51,4,0.13,2026-01-05,22,1.025,False
,AoG Chain,1663.36,1524.19,1,0.03,2025-11-11,77,1.0,False
,BigOak,1662.57,1523.97,11,0.37,2025-12-31,27,1.025,False
,TOBI,1662.28,1523.89,1,0.03,2025-11-30,58,1.0,False
,Scarmind.Italy,1659.6,1523.15,1,0.03,2025-12-16,42,1.0,False
,Aracnideo,1656.97,1522.42,1,0.03,2026-01-06,21,1.0,False
,nosky,1655.55,1522.02,2,0.07,2026-01-25,2,1.05,False
,T1D,1653.05,1521.33,1,0.03,2025-11-11,77,1.0,False
,cottleoscar,1652.3,1521.13,1,0.03,2025-11-22,66,1.0,False
,L@@-Yo$h,1652.2,1521.1,1,0.03,2025-11-13,75,1.0,False
,Moun Moun,1650.88,1520.74,1,0.03,2025-11-15,73,1.0,False
,Xinnzo,1649.76,1520.43,1,0.03,2025-11-16,72,1.0,False
,Bren4azer,1649.51,1520.36,1,0.03,2025-11-10,78,1.0,False
,cpapson2,1649.47,1520.35,1,0.03,2025-12-21,37,1.0,False
,Tiger_Ice,1648.86,1520.18,1,0.03,2025-12-26,32,1.0,False
,Mathews,1646.55,1519.54,1,0.03,2025-12-04,54,1.0,False
,john,1646.39,1519.5,1,0.03,2025-11-18,70,1.0,False
,vitorluizc.mioni,1645.96,1519.38,1,0.03,2025-12-29,29,1.0,False
,wsmith,1643.79,1518.79,1,0.03,2025-12-25,33,1.0,False
,Clac,1642.72,1518.49,1,0.03,2025-11-11,77,1.0,False
,Barbatus Lupus Rex,1641.85,1518.25,1,0.03,2026-01-03,24,1.0,False
,kaiserbeel,1641.67,1518.2,1,0.03,2025-11-27,61,1.0,False
,skye,1641.33,1518.11,1,0.03,2025-11-14,74,1.0,False
,alexander.r,1641.15,1518.06,1,0.03,2025-12-12,46,1.0,False
,Simmonsfield,1640.18,1517.8,1,0.03,2025-11-29,59,1.0,False
,Graeme,1639.38,1517.58,1,0.03,2025-12-03,55,1.0,False
,Biferti,1639.21,1517.53,1,0.03,2025-11-20,68,1.0,False
,TheDimedroll,1639.13,1517.51,1,0.03,2026-01-22,5,1.0,False
,SmallDEnergy,1638.05,1517.21,1,0.03,2026-01-07,20,1.0,False
,Plattinum,1636.26,1516.72,1,0.03,2025-12-28,30,1.0,False
,WhatATrueHero,1636.15,1516.69,4,0.13,2025-11-21,67,1.05,False
,Bwooo,1635.71,1516.58,4,0.13,2025-11-20,68,1.075,False
,Gannon,1634.65,1516.28,1,0.03,2025-11-24,64,1.0,False
,IamSparks,1634.29,1516.19,2,0.07,2025-11-16,72,1.05,False
,LaQcaracha,1634.19,1516.16,1,0.03,2025-11-25,63,1.0,False
,cyanx7,1633.72,1516.03,2,0.07,2025-11-16,72,1.075,False
,joes.feliciani,1633.45,1515.96,1,0.03,2025-11-22,66,1.0,False
,rudedawg,1633.21,1515.89,4,0.13,2025-12-26,32,1.025,False
,Sensei Snoops,1632.66,1515.74,1,0.03,2026-01-08,19,1.0,False
,Heros are Dead,1631.81,1515.51,3,0.1,2025-11-30,58,1.075,False
,Ally,1631.38,1515.4,2,0.07,2025-11-21,67,1.025,False
,gg,1630.82,1515.24,1,0.03,2025-12-07,51,1.0,False
,Il sottocollo di M.Costanzo,1630.72,1515.21,2,0.07,2025-12-06,52,1.25,False
,danger guy,1629.28,1514.82,12,0.4,2025-12-05,53,1.025,False
,Frunz15,1629.1,1514.77,4,0.13,2025-12-17,41,1.1,False
,Valiant Coruscare,1629.02,1514.75,1,0.03,2025-11-29,59,1.0,False
,TTobing,1628.58,1514.63,2,0.07,2025-12-26,32,1.25,False
,snake vivian,1627.59,1514.36,1,0.03,2026-01-09,18,1.0,False
,Ahem,1627.28,1514.28,4,0.13,2025-11-28,60,1.025,False
,Kazed,1626.15,1513.97,1,0.03,2025-12-06,52,1.0,False
,BattleOfWits,1624.5,1513.53,1,0.03,2025-11-30,58,1.0,False
,ForgottenSouls,1623.92,1513.37,1,0.03,2025-11-17,71,1.0,False
,Ch1ckenCh0wMe1n,1623.3,1513.2,2,0.07,2026-01-18,9,1.15,False
,0mexol,1621.7,1512.77,9,0.3,2026-01-05,22,1.1,False
,inyurface,1620.09,1512.34,1,0.03,2025-12-14,44,1.0,False
,RiceTea,1619.67,1512.22,1,0.03,2025-11-13,75,1.0,False
,SDubya,1617.06,1511.52,3,0.1,2026-01-18,9,1.25,False
,NAN (bot),1616.12,1511.26,1,0.03,2025-11-11,77,1.0,False
