active_rank,player_name,rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2796.29,121,1.0,2026-01-23,0,1.025,True
2,N Prime,2784.59,88,1.0,2026-01-20,3,1.025,True
3,Jeeda Sensei,2776.75,54,1.0,2026-01-23,0,1.025,True
4,Quali,2770.57,152,1.0,2026-01-23,0,1.025,True
5,luisarlen23,2759.87,25,0.83,2026-01-22,1,1.1,True
6,Blumpo Gripliskin,2743.29,70,1.0,2026-01-23,0,1.025,True
7,S31gn3ur Chr3t13n,2742.78,113,1.0,2026-01-23,0,1.05,True
8,camoutbussin,2736.09,41,1.0,2026-01-22,1,1.05,True
9,Skoops!,2713.14,64,1.0,2026-01-22,1,1.05,True
10,Siker_7,2699.0,30,1.0,2026-01-22,1,1.025,True
11,doniatka,2694.76,30,1.0,2026-01-19,4,1.1,True
12,Xrenoid,2676.05,102,1.0,2026-01-23,0,1.05,True
13,ricardo_lbrugnago,2568.66,10,0.33,2026-01-17,6,1.25,True
14,TheHunter222,2443.6,41,1.0,2026-01-22,1,1.025,True
15,Reynauld,2435.79,12,0.4,2026-01-23,0,1.1,True
16,maximeeepje,2400.73,48,1.0,2026-01-22,1,1.025,True
17,genevrier_ou,2363.98,23,0.77,2026-01-23,0,1.025,True
18,Dreamweaver,2353.15,66,1.0,2026-01-23,0,1.025,True
19,gitm_4,2304.08,14,0.47,2026-01-16,7,1.05,True
20,masterv5983,2077.15,105,1.0,2026-01-21,2,1.025,True
21,Conroy Milk,1986.27,16,0.53,2026-01-23,0,1.025,True
22,blankE,1974.59,86,1.0,2026-01-23,0,1.025,True
23,fmc91,1934.18,3,0.1,2026-01-22,1,1.025,True
24,ciga,1843.63,44,1.0,2026-01-23,0,1.025,True
25,Skit,1842.71,11,0.37,2026-01-23,0,1.125,True
26,Odin_Gr,1827.68,17,0.57,2026-01-20,3,1.15,True
27,khang.pham2401,1800.62,32,1.0,2026-01-21,2,1.25,True
28,Ch1ckenCh0wMe1n,1789.28,2,0.07,2026-01-18,5,1.15,True
29,SDubya,1771.72,3,0.1,2026-01-18,5,1.25,True
30,Young Catweazle,1753.53,6,0.2,2026-01-17,6,1.25,True
31,Donalgo,1744.11,1,0.03,2026-01-20,3,1.0,True
32,TheDimedroll,1742.19,13,0.43,2026-01-22,1,1.25,True
33,Sif The Great Wolf,1732.72,1,0.03,2026-01-21,2,1.0,True
34,Frango,1718.55,13,0.43,2026-01-23,0,1.025,True
35,nosky,1678.83,1,0.03,2026-01-23,0,1.0,True
