active_rank,player_name,rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2798.51,121,1.0,2026-01-23,0,1.025,True
2,N Prime,2792.06,88,1.0,2026-01-20,3,1.025,True
3,Jeeda Sensei,2790.9,54,1.0,2026-01-23,0,1.025,True
,Zu,2790.09,56,1.0,2025-11-28,56,1.1,False
4,Quali,2783.87,152,1.0,2026-01-23,0,1.025,True
,soc.from.ub.kodao,2779.19,63,1.0,2025-11-08,76,1.15,False
5,Blumpo Gripliskin,2772.01,70,1.0,2026-01-23,0,1.025,True
6,luisarlen23,2767.18,25,0.83,2026-01-22,1,1.1,True
7,S31gn3ur Chr3t13n,2766.74,113,1.0,2026-01-23,0,1.05,True
8,camoutbussin,2759.87,41,1.0,2026-01-22,1,1.05,True
,m.melkowski1,2752.28,42,1.0,2026-01-02,21,1.05,False
9,Skoops!,2736.31,64,1.0,2026-01-22,1,1.05,True
,Rubens,2725.73,58,1.0,2025-12-09,45,1.025,False
,btroitsk,2723.53,96,1.0,2026-01-10,13,1.025,False
10,doniatka,2720.1,30,1.0,2026-01-19,4,1.1,True
11,Xrenoid,2710.68,102,1.0,2026-01-23,0,1.05,True
12,Siker_7,2710.64,30,1.0,2026-01-22,1,1.025,True
,Mubirobiro [BR],2709.83,56,1.0,2025-12-30,24,1.1,False
,austin_midd,2629.19,17,0.57,2025-12-20,34,1.025,False
,Rosewood,2578.63,48,1.0,2025-10-08,107,1.025,False
,Jhon Whisky,2557.95,5,0.17,2026-01-13,10,1.25,False
,Covert Skeleton,2533.33,60,1.0,2026-01-15,8,1.25,False
13,maximeeepje,2532.01,48,1.0,2026-01-22,1,1.025,True
,群傻搬象Sesquipedalianism,2516.78,7,0.23,2025-08-13,163,1.025,False
14,TheHunter222,2487.72,41,1.0,2026-01-22,1,1.025,True
,Kozlak,2471.11,35,1.0,2025-10-09,106,1.1,False
15,ricardo_lbrugnago,2454.63,10,0.33,2026-01-17,6,1.25,True
,Madnukin,2452.13,22,0.73,2025-11-21,63,1.05,False
,Dan,2450.13,13,0.43,2025-12-03,51,1.025,False
,Ghost,2445.28,59,1.0,2025-10-19,96,1.175,False
16,Reynauld,2436.97,12,0.4,2026-01-23,0,1.1,True
,jax,2425.76,43,1.0,2025-11-03,81,1.1,False
,AGR_Inbound,2407.44,6,0.2,2025-12-03,51,1.05,False
17,Dreamweaver,2397.88,66,1.0,2026-01-23,0,1.025,True
18,gitm_4,2366.6,14,0.47,2026-01-16,7,1.05,True
,Miroko,2347.2,22,0.73,2025-11-22,62,1.025,False
,Nocek,2337.52,16,0.53,2025-12-10,44,1.1,False
19,genevrier_ou,2325.19,23,0.77,2026-01-23,0,1.025,True
,elmrealm,2312.47,37,1.0,2025-11-21,63,1.075,False
,Vadd,2219.72,4,0.13,2025-12-05,49,1.2,False
,Spirit,2210.36,6,0.2,2025-10-08,107,1.05,False
,Booorman,2198.28,10,0.33,2025-12-09,45,1.075,False
,Dopamine,2197.76,9,0.3,2025-08-16,160,1.075,False
,Hakon,2167.16,14,0.47,2025-09-11,134,1.025,False
,Laska,2139.56,13,0.43,2026-01-14,9,1.05,False
,Alvarin,2138.24,66,1.0,2025-12-12,42,1.25,False
,Sigmar Male,2137.91,7,0.23,2025-10-29,86,1.25,False
20,masterv5983,2131.4,105,1.0,2026-01-21,2,1.025,True
,Ernesto Quesidala Bombo,2114.78,4,0.13,2025-08-05,171,1.025,False
21,Conroy Milk,2099.85,16,0.53,2026-01-23,0,1.025,True
,DIBRAS,2089.2,6,0.2,2025-12-31,23,1.05,False
,Madok,2082.48,10,0.33,2025-12-25,29,1.25,False
,ClownAunt,2059.73,5,0.17,2025-08-01,175,1.05,False
,mishaaku,2055.21,4,0.13,2025-11-15,69,1.05,False
,kaltepfote,2053.35,32,1.0,2025-10-19,96,1.125,False
,imnickio2,2044.38,5,0.17,2025-12-12,42,1.25,False
,Yngvi,2031.46,23,0.77,2025-10-17,98,1.025,False
22,blankE,2029.71,86,1.0,2026-01-23,0,1.025,True
,IndieLoupe.com,2026.94,5,0.17,2025-10-28,87,1.075,False
,MythalJedi,2011.57,8,0.27,2025-11-06,78,1.025,False
,Barbaferro,2011.08,35,1.0,2026-01-05,18,1.025,False
,MindsEye,1996.43,4,0.13,2025-08-04,172,1.025,False
,greattwizzler,1993.84,3,0.1,2025-12-03,51,1.025,False
,Thanos,1985.8,2,0.07,2025-12-28,26,1.025,False
,Masterspades,1974.78,2,0.07,2025-11-26,58,1.25,False
23,Skit,1964.79,11,0.37,2026-01-23,0,1.125,True
,BattleOfWits,1963.21,2,0.07,2025-11-30,54,1.25,False
,grahamthehuman,1958.46,4,0.13,2025-11-27,57,1.05,False
,orangeorchad,1954.96,4,0.13,2025-07-29,178,1.05,False
,r3coil,1949.58,2,0.07,2025-11-25,59,1.25,False
,Proxy,1948.13,1,0.03,2025-11-17,67,1.0,False
,Thursday,1938.71,1,0.03,2025-11-10,74,1.0,False
,J.M.AVON,1935.46,2,0.07,2025-11-14,70,1.05,False
,GeekDoesStuff,1930.29,1,0.03,2025-11-24,60,1.0,False
,ivanmarsiy,1929.88,2,0.07,2025-08-28,148,1.025,False
,Thordendal,1929.02,1,0.03,2025-10-01,114,1.0,False
,semperpsychotic,1928.33,6,0.2,2025-12-23,31,1.25,False
,einarrahyem,1927.42,1,0.03,2025-07-30,177,1.0,False
,obj. obj. obj.,1926.34,6,0.2,2025-09-28,117,1.025,False
,Souzam,1926.21,2,0.07,2025-07-28,179,1.025,False
,KlavierAchse,1924.24,1,0.03,2025-07-28,179,1.0,False
,BekfastStealer,1917.2,1,0.03,2025-11-17,67,1.0,False
,Little piece of,1915.98,1,0.03,2025-10-12,103,1.0,False
,ppr74,1909.49,32,1.0,2025-11-05,79,1.125,False
,Trogdor - The Burninator,1906.55,1,0.03,2025-07-23,184,1.0,False
,ZasZ234,1905.84,1,0.03,2025-08-01,175,1.0,False
,Black_Stark,1905.6,1,0.03,2025-11-16,68,1.0,False
,Robsje,1904.83,1,0.03,2025-11-12,72,1.0,False
,Nerro,1900.6,1,0.03,2025-08-03,173,1.0,False
,axeman6199,1899.6,1,0.03,2025-11-09,75,1.0,False
,User,1899.15,1,0.03,2025-07-26,181,1.0,False
,Apxangel,1896.12,1,0.03,2025-07-28,179,1.0,False
,deadgast,1895.5,18,0.6,2025-10-26,89,1.025,False
,adresmarka,1894.79,1,0.03,2025-12-30,24,1.0,False
,danger guy,1893.79,12,0.4,2025-12-05,49,1.025,False
,TheDimOne,1893.27,4,0.13,2025-10-21,94,1.1,False
,StrangeShrimp,1893.06,2,0.07,2025-07-25,182,1.025,False
,headhuntman,1889.21,1,0.03,2025-11-26,58,1.0,False
,BigOak,1887.05,11,0.37,2025-12-31,23,1.025,False
,Calyceus,1886.58,1,0.03,2025-11-14,70,1.0,False
,horst-van-panzer,1886.18,2,0.07,2025-11-27,57,1.075,False
,Devily,1883.44,3,0.1,2025-08-27,149,1.25,False
24,ciga,1883.07,44,1.0,2026-01-23,0,1.025,True
,不要杀海豹,1880.56,1,0.03,2025-08-16,160,1.0,False
,Gone dark.,1880.27,1,0.03,2025-11-10,74,1.0,False
,shikanopi,1878.89,1,0.03,2025-08-09,167,1.0,False
,AxelKeyzer,1876.51,1,0.03,2026-01-10,13,1.0,False
,Jannik,1875.39,5,0.17,2025-11-15,69,1.075,False
,fum,1875.09,1,0.03,2025-09-25,120,1.0,False
,patrykelektryk,1874.65,2,0.07,2026-01-09,14,1.175,False
,Ezamaru,1874.14,1,0.03,2025-09-26,119,1.0,False
,Mrponyguy22,1873.8,1,0.03,2025-07-26,181,1.0,False
,[FUR]一只果仁喵,1872.17,1,0.03,2025-08-26,150,1.0,False
,llstevens86,1870.38,1,0.03,2025-07-24,183,1.0,False
25,fmc91,1870.22,3,0.1,2026-01-22,1,1.025,True
,Nando Rekel,1869.7,1,0.03,2025-11-16,68,1.0,False
,Bwooo,1869.26,8,0.27,2025-11-20,64,1.075,False
,HungryFred,1869.16,1,0.03,2025-11-17,67,1.0,False
,CORREO,1868.83,1,0.03,2025-10-07,108,1.0,False
,Digo_Peru🦃🦃,1868.4,1,0.03,2025-08-13,163,1.0,False
,Ralf Schumacher,1868.33,1,0.03,2026-01-09,14,1.0,False
,LongtimeBrute,1867.87,1,0.03,2025-08-15,161,1.0,False
,Empty Inside,1866.51,3,0.1,2025-09-27,118,1.025,False
,JT Sunwalker,1864.39,1,0.03,2025-07-31,176,1.0,False
,Liz,1863.93,23,0.77,2025-11-21,63,1.05,False
,Friendo,1863.29,1,0.03,2025-11-22,62,1.0,False
,Ljinsta_SKOJ,1863.04,2,0.07,2026-01-06,17,1.075,False
,admiral_hackbar,1861.16,1,0.03,2025-10-29,86,1.0,False
,Skinofgods,1860.09,1,0.03,2025-07-28,179,1.0,False
,Lycerker,1858.32,1,0.03,2025-11-24,60,1.0,False
,micerang,1857.68,1,0.03,2025-11-12,72,1.0,False
,P33peePOTTER,1857.6,4,0.13,2025-08-28,148,1.025,False
,IamSparks,1853.31,2,0.07,2025-11-16,68,1.05,False
,WhatATrueHero,1852.51,4,0.13,2025-11-21,63,1.05,False
,AHoboWithASpork,1851.03,5,0.17,2026-01-07,16,1.1,False
,Cyberstein2077,1848.52,1,0.03,2025-07-26,181,1.0,False
,Sleepy ;-;,1848.48,1,0.03,2025-08-24,152,1.0,False
,Toman804,1848.41,7,0.23,2025-10-11,104,1.175,False
,AoG Chain,1846.5,1,0.03,2025-11-11,73,1.0,False
,demitype,1846.18,1,0.03,2025-11-24,60,1.0,False
,Zardon,1846.11,1,0.03,2025-11-29,55,1.0,False
,Primo Tinhoso,1845.65,1,0.03,2025-08-26,150,1.0,False
,L@@-Yo$h,1842.41,1,0.03,2025-11-13,71,1.0,False
,RicoLoco52,1841.31,3,0.1,2025-11-07,77,1.075,False
,AniBunny,1839.36,1,0.03,2026-01-06,17,1.0,False
,deadsanta,1836.14,1,0.03,2026-01-08,15,1.0,False
,rudedawg,1831.57,41,1.0,2025-12-26,28,1.025,False
,twitch.tv/BruceUnderRock,1831.51,1,0.03,2025-10-25,90,1.0,False
,Gynkou,1831.5,1,0.03,2025-12-26,28,1.0,False
,oofisthememe47,1831.0,1,0.03,2025-07-30,177,1.0,False
,T1D,1829.49,1,0.03,2025-11-11,73,1.0,False
,SaibaPanku,1828.0,1,0.03,2025-10-10,105,1.0,False
,TOBI,1826.67,1,0.03,2025-11-30,54,1.0,False
,Ekkon,1824.78,1,0.03,2025-08-12,164,1.0,False
,Moun Moun,1824.4,1,0.03,2025-11-15,69,1.0,False
,selbyliu,1823.77,1,0.03,2025-08-06,170,1.0,False
,cottleoscar,1822.58,1,0.03,2025-11-22,62,1.0,False
,Xinnzo,1821.29,1,0.03,2025-11-16,68,1.0,False
,skye,1821.09,1,0.03,2025-11-14,70,1.0,False
,Handsome_Rakshas,1818.92,2,0.07,2025-11-18,66,1.2,False
,Ahem,1818.68,4,0.13,2025-11-28,56,1.025,False
,AdrianTheMiguel,1818.66,1,0.03,2025-10-02,113,1.0,False
,Scarmind.Italy,1815.46,1,0.03,2025-12-16,38,1.0,False
,jmatuszek,1813.44,1,0.03,2025-10-10,105,1.0,False
,Clac,1812.64,1,0.03,2025-11-11,73,1.0,False
,Bren4azer,1811.64,1,0.03,2025-11-10,74,1.0,False
,Kenny,1810.54,9,0.3,2025-08-25,151,1.025,False
,Shoshone,1809.95,9,0.3,2025-09-21,124,1.15,False
,Heros are Dead,1809.56,3,0.1,2025-11-30,54,1.075,False
,szekely.gyorgyb52,1808.94,1,0.03,2025-11-03,81,1.0,False
26,TheDimedroll,1807.49,13,0.43,2026-01-22,1,1.25,True
,Disciple of Rot,1806.24,1,0.03,2025-10-18,97,1.0,False
,Aracnideo,1806.16,1,0.03,2026-01-06,17,1.0,False
,bullzebub,1803.16,23,0.77,2026-01-03,20,1.15,False
,Tiger_Ice,1799.85,1,0.03,2025-12-26,28,1.0,False
,Valerio,1799.19,3,0.1,2025-11-25,59,1.175,False
,Frunz15,1797.15,4,0.13,2025-12-17,37,1.1,False
,kluseczki,1797.11,2,0.07,2025-07-26,181,1.025,False
,cpapson2,1796.56,1,0.03,2025-12-21,33,1.0,False
,alexander.r,1795.8,1,0.03,2025-12-12,42,1.0,False
,RiceTea,1794.13,1,0.03,2025-11-13,71,1.0,False
,Mathews,1793.1,1,0.03,2025-12-04,50,1.0,False
,Augustin,1792.62,4,0.13,2025-12-28,26,1.25,False
,wsmith,1792.37,1,0.03,2025-12-25,29,1.0,False
,Ally,1791.86,2,0.07,2025-11-21,63,1.025,False
,joes.feliciani,1790.81,1,0.03,2025-11-22,62,1.0,False
,0mexol,1790.12,9,0.3,2026-01-05,18,1.1,False
,kaiserbeel,1790.08,1,0.03,2025-11-27,57,1.0,False
,samoray737,1789.13,4,0.13,2025-12-20,34,1.25,False
,nico-hobbit,1789.08,1,0.03,2025-09-27,118,1.0,False
,TTobing,1787.94,2,0.07,2025-12-26,28,1.25,False
,vitorluizc.mioni,1786.75,1,0.03,2025-12-29,25,1.0,False
,Sboro,1785.04,1,0.03,2025-10-03,112,1.0,False
,Biferti,1784.43,1,0.03,2025-11-20,64,1.0,False
,Simmonsfield,1784.15,1,0.03,2025-11-29,55,1.0,False
,Il sottocollo di M.Costanzo,1784.0,2,0.07,2025-12-06,48,1.25,False
,Graeme,1783.04,1,0.03,2025-12-03,51,1.0,False
,Gannon,1782.59,1,0.03,2025-11-24,60,1.0,False
,Barbatus Lupus Rex,1780.14,1,0.03,2026-01-03,20,1.0,False
,LaQcaracha,1779.1,1,0.03,2025-11-25,59,1.0,False
,ForgottenSouls,1778.71,1,0.03,2025-11-17,67,1.0,False
,Plattinum,1776.45,1,0.03,2025-12-28,26,1.0,False
,SmallDEnergy,1773.25,1,0.03,2026-01-07,16,1.0,False
,Houseb,1772.68,3,0.1,2025-07-30,177,1.025,False
,jamzilla.t,1771.88,2,0.07,2025-07-28,179,1.025,False
,King-Otter,1771.21,1,0.03,2025-10-16,99,1.0,False
,BlackAtlas,1770.66,1,0.03,2025-09-22,123,1.0,False
,macfield,1770.64,1,0.03,2025-10-11,104,1.0,False
,NAN (bot),1770.56,1,0.03,2025-11-11,73,1.0,False
,Am0n-Ra,1770.14,1,0.03,2025-07-23,184,1.0,False
,ralfantoine0017,1769.9,1,0.03,2025-08-02,174,1.0,False
,ARMADA,1769.28,4,0.13,2025-08-10,166,1.25,False
,StoryEdge,1767.88,3,0.1,2025-11-22,62,1.25,False
,potato daddy,1765.72,1,0.03,2025-11-12,72,1.0,False
,Valiant Coruscare,1763.82,1,0.03,2025-11-29,55,1.0,False
,gg,1763.59,1,0.03,2025-12-07,47,1.0,False
,tom.hopkin,1763.38,4,0.13,2025-10-26,89,1.175,False
27,khang.pham2401,1757.7,32,1.0,2026-01-21,2,1.25,True
28,SDubya,1756.95,3,0.1,2026-01-18,5,1.25,True
,Punch WB,1755.71,2,0.07,2026-01-08,15,1.25,False
,inyurface,1753.39,1,0.03,2025-12-14,40,1.0,False
29,Ch1ckenCh0wMe1n,1753.1,2,0.07,2026-01-18,5,1.15,True
,Dillicious,1752.05,5,0.17,2025-12-20,34,1.225,False
,PixeledPink,1750.99,1,0.03,2025-10-18,97,1.0,False
,Sensei Snoops,1750.65,42,1.0,2026-01-08,15,1.25,False
,snake vivian,1749.52,1,0.03,2026-01-09,14,1.0,False
,Motorni,1749.12,3,0.1,2026-01-12,11,1.25,False
,Tak,1748.23,1,0.03,2025-10-25,90,1.0,False
,Sly_C0rVid,1747.58,1,0.03,2025-11-23,61,1.0,False
,Chaobacca,1746.69,1,0.03,2025-09-22,123,1.0,False
,Roob82,1741.4,7,0.23,2026-01-10,13,1.075,False
,Mamalitaoh,1740.69,1,0.03,2025-08-13,163,1.0,False
30,Young Catweazle,1740.46,6,0.2,2026-01-17,6,1.25,True
,Bolid,1739.37,1,0.03,2025-11-18,66,1.0,False
,Void,1737.91,2,0.07,2025-10-08,107,1.25,False
,Njitself,1737.73,2,0.07,2025-11-19,65,1.025,False
,mfloresgalindo,1737.13,1,0.03,2025-10-17,98,1.0,False
31,Odin_Gr,1736.75,17,0.57,2026-01-20,3,1.15,True
,smola_2005,1736.17,35,1.0,2025-11-16,68,1.075,False
,beebo,1734.93,1,0.03,2025-08-06,170,1.0,False
,Ongon,1734.29,5,0.17,2025-11-28,56,1.05,False
,Kaza,1732.09,1,0.03,2025-12-04,50,1.0,False
,whazupbillion,1732.04,29,0.97,2025-10-31,84,1.075,False
,tmczar,1728.03,1,0.03,2025-11-27,57,1.0,False
,owesow23,1726.95,1,0.03,2025-11-16,68,1.0,False
32,Donalgo,1726.5,1,0.03,2026-01-20,3,1.0,True
,Dunkel,1726.0,1,0.03,2025-11-11,73,1.0,False
,Wolf of Dresden,1725.62,1,0.03,2025-10-25,90,1.0,False
,Das Vieh,1724.48,1,0.03,2025-07-24,183,1.0,False
,The Hamilton Ham Candle,1723.38,19,0.63,2025-11-16,68,1.075,False
,TerryB_2,1721.92,4,0.13,2025-12-12,42,1.075,False
33,Sif The Great Wolf,1718.28,1,0.03,2026-01-21,2,1.0,True
,Chill,1717.8,1,0.03,2025-07-29,178,1.0,False
,cyanx7,1717.78,3,0.1,2025-11-16,68,1.075,False
,Fr@nkenh0lz,1712.01,2,0.07,2025-08-18,158,1.075,False
,kenouki,1710.99,1,0.03,2025-07-30,177,1.0,False
,Fakin Cruasán,1709.9,1,0.03,2025-08-18,158,1.0,False
,Dead3y3,1706.3,1,0.03,2025-08-08,168,1.0,False
,Sam-G,1705.7,1,0.03,2025-11-15,69,1.0,False
,Lololol_35,1703.58,2,0.07,2025-07-27,180,1.05,False
,Exres,1699.48,1,0.03,2025-12-10,44,1.0,False
,grimmfeed,1696.96,2,0.07,2025-08-08,168,1.1,False
,OldGregg,1696.26,3,0.1,2025-12-13,41,1.2,False
,hallas,1692.88,1,0.03,2025-10-20,95,1.0,False
,Hildarkien,1692.41,2,0.07,2025-12-25,29,1.25,False
,hzp123,1691.09,1,0.03,2025-07-29,178,1.0,False
,Osel,1690.42,2,0.07,2025-12-25,29,1.225,False
,Boris,1689.12,1,0.03,2025-11-29,55,1.0,False
,Pastori's,1685.02,2,0.07,2025-12-18,36,1.025,False
,Kazed,1684.72,2,0.07,2025-12-06,48,1.25,False
,Ravenroks,1684.5,1,0.03,2025-11-12,72,1.0,False
,TheKoolestAid,1680.7,1,0.03,2025-10-08,107,1.0,False
,FUSNM,1680.2,1,0.03,2025-12-11,43,1.0,False
,superspazmataz,1675.35,11,0.37,2025-10-24,91,1.025,False
,Rush B!!!!!!,1674.63,2,0.07,2025-11-11,73,1.025,False
,MilchReis,1673.58,1,0.03,2025-08-16,160,1.0,False
,alexbali255,1673.11,14,0.47,2025-08-30,146,1.15,False
,Nigward,1672.07,1,0.03,2025-11-07,77,1.0,False
,Styrkar,1670.67,1,0.03,2025-09-22,123,1.0,False
,Dangil Sparda,1668.81,6,0.2,2026-01-11,12,1.2,False
,Misiu,1667.72,2,0.07,2025-08-04,172,1.075,False
,Aidoneus,1667.33,1,0.03,2025-08-07,169,1.0,False
,Flieguen Orange,1667.16,1,0.03,2025-11-14,70,1.0,False
