active_rank,player_name,rating,raw_rating,games_played,confidence,last_seen,days_inactive,uncertainty,is_active
1,Bidderlyn,2847.49,2140.1,123,1.0,2026-01-25,0,1.025,True
2,N Prime,2757.91,1999.3,89,1.0,2026-01-24,1,1.1,True
3,Jeeda Sensei,2747.21,1988.53,56,1.0,2026-01-25,0,1.025,True
,Zu,2725.56,1967.97,56,1.0,2025-11-28,58,1.1,False
,soc.from.ub.kodao,2644.85,1902.57,63,1.0,2025-11-08,78,1.15,False
4,Quali,2639.1,1898.44,154,1.0,2026-01-25,0,1.025,True
5,Blumpo Gripliskin,2606.92,1876.37,70,1.0,2026-01-23,2,1.025,True
6,S31gn3ur Chr3t13n,2597.68,1870.33,115,1.0,2026-01-25,0,1.025,True
7,camoutbussin,2580.66,1859.52,42,1.0,2026-01-25,0,1.075,True
8,luisarlen23,2550.05,1841.0,27,0.9,2026-01-25,0,1.025,True
,m.melkowski1,2529.16,1828.98,42,1.0,2026-01-02,23,1.05,False
9,Skoops!,2473.57,1799.08,66,1.0,2026-01-25,0,1.025,True
,Rubens,2454.26,1789.32,58,1.0,2025-12-09,47,1.025,False
10,Xrenoid,2447.37,1785.9,103,1.0,2026-01-24,1,1.025,True
11,doniatka,2440.88,1782.72,30,1.0,2026-01-19,6,1.1,True
,Mubirobiro [BR],2418.07,1771.77,56,1.0,2025-12-30,26,1.1,False
12,btroitsk,2399.05,1762.9,97,1.0,2026-01-24,1,1.25,True
13,Siker_7,2382.68,1755.46,32,1.0,2026-01-25,0,1.025,True
,austin_midd,2282.32,1712.95,17,0.57,2025-12-20,36,1.025,False
,Rosewood,2218.8,1688.39,48,1.0,2025-10-08,109,1.025,False
,Jhon Whisky,2195.61,1679.8,5,0.17,2026-01-13,12,1.25,False
,Covert Skeleton,2169.64,1670.4,60,1.0,2026-01-15,10,1.25,False
14,maximeeepje,2168.28,1669.92,48,1.0,2026-01-22,3,1.025,True
,群傻搬象Sesquipedalianism,2153.02,1664.5,7,0.23,2025-08-13,165,1.025,False
15,TheHunter222,2125.29,1654.84,41,1.0,2026-01-22,3,1.025,True
,Kozlak,2110.16,1649.66,35,1.0,2025-10-09,108,1.1,False
16,Dreamweaver,2101.74,1646.81,67,1.0,2026-01-24,1,1.025,True
,ricardo_lbrugnago,2095.61,1644.74,10,0.33,2026-01-17,8,1.25,False
,Madnukin,2093.43,1644.01,22,0.73,2025-11-21,65,1.05,False
,Dan,2091.7,1643.43,13,0.43,2025-12-03,53,1.025,False
,Ghost,2087.53,1642.04,59,1.0,2025-10-19,98,1.175,False
17,Reynauld,2080.47,1639.69,12,0.4,2026-01-23,2,1.1,True
,jax,2071.08,1636.58,43,1.0,2025-11-03,83,1.1,False
,AGR_Inbound,2056.1,1631.67,6,0.2,2025-12-03,53,1.05,False
,gitm_4,2024.11,1621.37,14,0.47,2026-01-16,9,1.05,False
,Miroko,2009.5,1616.74,22,0.73,2025-11-22,64,1.025,False
,Nocek,2002.34,1614.5,16,0.53,2025-12-10,46,1.1,False
,elmrealm,1984.19,1608.84,37,1.0,2025-11-21,65,1.075,False
18,Conroy Milk,1980.51,1607.71,18,0.6,2026-01-25,0,1.025,True
19,genevrier_ou,1924.62,1590.78,24,0.8,2026-01-25,0,1.05,True
,Vadd,1920.82,1589.65,4,0.13,2025-12-05,51,1.2,False
,Spirit,1914.71,1587.85,6,0.2,2025-10-08,109,1.05,False
,Booorman,1906.88,1585.54,10,0.33,2025-12-09,47,1.075,False
,Dopamine,1906.55,1585.44,9,0.3,2025-08-16,162,1.075,False
,Hakon,1887.05,1579.75,14,0.47,2025-09-11,136,1.025,False
,Laska,1869.79,1574.77,13,0.43,2026-01-14,11,1.05,False
,Alvarin,1868.97,1574.54,66,1.0,2025-12-12,44,1.25,False
