rank,player_name,rating,games_played,confidence,last_seen
1,soc.from.ub.kodao,2663.49,63,1.0,2025-11-08
2,Zu,2645.66,46,1.0,2025-11-08
3,Blumpo Gripliskin,2641.77,55,1.0,2025-10-26
4,N Prime,2638.93,64,1.0,2025-11-08
5,Mubirobiro [BR],2588.17,42,1.0,2025-10-28
6,Xrenoid,2514.09,59,1.0,2025-11-01
7,Miroko,2469.42,17,0.57,2025-10-14
8,Quali,2453.76,83,1.0,2025-11-09
9,Bidderlyn,2449.26,62,1.0,2025-10-28
10,maximeeepje,2447.33,38,1.0,2025-10-19
11,Rubens,2425.35,48,1.0,2025-11-09
12,btroitsk,2367.59,63,1.0,2025-11-07
13,Madnukin,2349.75,18,0.6,2025-08-17
14,群傻搬象Sesquipedalianism,2284.2,7,0.23,2025-08-13
15,Dreamweaver,2249.74,30,1.0,2025-11-09
16,S31gn3ur Chr3t13n,2237.42,72,1.0,2025-11-09
17,camoutbussin,2220.82,12,0.4,2025-11-07
18,kaltepfote,2072.75,32,1.0,2025-10-19
19,alexbali255,2070.49,14,0.47,2025-08-30
20,Rosewood,2067.72,48,1.0,2025-10-08
21,Dopamine,2020.2,9,0.3,2025-08-16
22,Hakon,1993.44,14,0.47,2025-09-11
23,ClownAunt,1992.74,5,0.17,2025-08-01
24,Ghost,1951.31,59,1.0,2025-10-19
25,orangeorchad,1941.89,4,0.13,2025-07-29
26,StoryEdge,1915.06,2,0.07,2025-08-05
27,Ernesto Quesidala Bombo,1909.7,4,0.13,2025-08-05
28,einarrahyem,1899.58,1,0.03,2025-07-30
29,KlavierAchse,1895.73,1,0.03,2025-07-28
30,Trogdor - The Burninator,1867.24,1,0.03,2025-07-23
31,ZasZ234,1864.5,1,0.03,2025-08-01
32,Nerro,1859.42,1,0.03,2025-08-03
33,User,1857.72,1,0.03,2025-07-26
34,Thordendal,1857.32,1,0.03,2025-10-01
35,Apxangel,1857.2,1,0.03,2025-07-28
36,MindsEye,1855.85,4,0.13,2025-08-04
37,Covert Skeleton,1844.12,49,1.0,2025-11-08
38,Mrponyguy22,1828.84,1,0.03,2025-07-26
39,Little piece of,1825.49,1,0.03,2025-10-12
40,BattleOfWits,1825.45,1,0.03,2025-08-11
41,Madok,1825.16,9,0.3,2025-11-08
42,Kozlak,1821.39,35,1.0,2025-10-09
43,shikanopi,1821.05,1,0.03,2025-08-09
44,StrangeShrimp,1820.37,2,0.07,2025-07-25
45,不要杀海豹,1816.53,1,0.03,2025-08-16
46,llstevens86,1815.62,1,0.03,2025-07-24
47,ARMADA,1813.44,4,0.13,2025-08-10
48,Skinofgods,1812.78,1,0.03,2025-07-28
49,Souzam,1812.51,2,0.07,2025-07-28
50,Cyberstein2077,1799.76,1,0.03,2025-07-26
51,JT Sunwalker,1796.06,1,0.03,2025-07-31
52,[FUR]一只果仁喵,1795.62,1,0.03,2025-08-26
53,Devily,1793.84,3,0.1,2025-08-27
54,axeman6199,1790.55,1,0.03,2025-11-09
55,bullzebub,1789.38,9,0.3,2025-11-07
56,ivanmarsiy,1786.4,2,0.07,2025-08-28
57,LongtimeBrute,1782.86,1,0.03,2025-08-15
58,Digo_Peru🦃🦃,1781.04,1,0.03,2025-08-13
59,Ongon,1778.65,1,0.03,2025-10-03
60,Ezamaru,1771.83,1,0.03,2025-09-26
61,Primo Tinhoso,1771.05,1,0.03,2025-08-26
62,Empty Inside,1769.24,3,0.1,2025-09-27
63,oofisthememe47,1763.61,1,0.03,2025-07-30
64,智障不分國籍,1760.8,8,0.27,2025-08-08
65,Siker_7,1755.48,2,0.07,2025-10-23
66,Ekkon,1752.94,1,0.03,2025-08-12
